Date,Product,Category,Unit_Cost_AED,Opening_Stock,Daily_Demand,Closing_Stock,Stock_Value_AED,Stockout_Risk,Days_of_Cover,Day_of_Week,Month
1/1/2024,Arabica_Beans_kg,Coffee,45,336,53,283,15120,FALSE,6.339622642,Monday,2024-01
1/2/2024,Arabica_Beans_kg,Coffee,45,283,62,221,12735,FALSE,4.564516129,Tuesday,2024-01
1/3/2024,Arabica_Beans_kg,Coffee,45,221,50,171,9945,FALSE,4.42,Wednesday,2024-01
1/4/2024,Arabica_Beans_kg,Coffee,45,171,57,114,7695,FALSE,3,Thursday,2024-01
1/5/2024,Arabica_Beans_kg,Coffee,45,114,85,29,5130,TRUE,1.341176471,Friday,2024-01
1/6/2024,Arabica_Beans_kg,Coffee,45,29,69,0,1305,TRUE,0.420289855,Saturday,2024-01
1/7/2024,Arabica_Beans_kg,Coffee,45,0,58,0,0,TRUE,0,Sunday,2024-01
1/8/2024,Arabica_Beans_kg,Coffee,45,336,81,255,15120,FALSE,4.148148148,Monday,2024-01
1/9/2024,Arabica_Beans_kg,Coffee,45,255,60,195,11475,FALSE,4.25,Tuesday,2024-01
1/10/2024,Arabica_Beans_kg,Coffee,45,195,51,144,8775,FALSE,3.823529412,Wednesday,2024-01
1/11/2024,Arabica_Beans_kg,Coffee,45,144,67,77,6480,FALSE,2.149253731,Thursday,2024-01
1/12/2024,Arabica_Beans_kg,Coffee,45,77,79,0,3465,TRUE,0.974683544,Friday,2024-01
1/13/2024,Arabica_Beans_kg,Coffee,45,0,84,0,0,TRUE,0,Saturday,2024-01
1/14/2024,Arabica_Beans_kg,Coffee,45,0,67,0,0,TRUE,0,Sunday,2024-01
1/15/2024,Arabica_Beans_kg,Coffee,45,336,64,272,15120,FALSE,5.25,Monday,2024-01
1/16/2024,Arabica_Beans_kg,Coffee,45,272,48,224,12240,FALSE,5.666666667,Tuesday,2024-01
1/17/2024,Arabica_Beans_kg,Coffee,45,224,54,170,10080,FALSE,4.148148148,Wednesday,2024-01
1/18/2024,Arabica_Beans_kg,Coffee,45,170,48,122,7650,FALSE,3.541666667,Thursday,2024-01
1/19/2024,Arabica_Beans_kg,Coffee,45,122,64,58,5490,TRUE,1.90625,Friday,2024-01
1/20/2024,Arabica_Beans_kg,Coffee,45,58,115,0,2610,TRUE,0.504347826,Saturday,2024-01
1/21/2024,Arabica_Beans_kg,Coffee,45,0,56,0,0,TRUE,0,Sunday,2024-01
1/22/2024,Arabica_Beans_kg,Coffee,45,336,68,268,15120,FALSE,4.941176471,Monday,2024-01
1/23/2024,Arabica_Beans_kg,Coffee,45,268,50,218,12060,FALSE,5.36,Tuesday,2024-01
1/24/2024,Arabica_Beans_kg,Coffee,45,218,68,150,9810,FALSE,3.205882353,Wednesday,2024-01
1/25/2024,Arabica_Beans_kg,Coffee,45,150,60,90,6750,FALSE,2.5,Thursday,2024-01
1/26/2024,Arabica_Beans_kg,Coffee,45,90,100,0,4050,TRUE,0.9,Friday,2024-01
1/27/2024,Arabica_Beans_kg,Coffee,45,0,62,0,0,TRUE,0,Saturday,2024-01
1/28/2024,Arabica_Beans_kg,Coffee,45,0,64,0,0,TRUE,0,Sunday,2024-01
1/29/2024,Arabica_Beans_kg,Coffee,45,336,57,279,15120,FALSE,5.894736842,Monday,2024-01
1/30/2024,Arabica_Beans_kg,Coffee,45,279,55,224,12555,FALSE,5.072727273,Tuesday,2024-01
1/31/2024,Arabica_Beans_kg,Coffee,45,224,66,158,10080,FALSE,3.393939394,Wednesday,2024-01
2/1/2024,Arabica_Beans_kg,Coffee,45,158,63,95,7110,FALSE,2.507936508,Thursday,2024-02
2/2/2024,Arabica_Beans_kg,Coffee,45,95,89,6,4275,TRUE,1.06741573,Friday,2024-02
2/3/2024,Arabica_Beans_kg,Coffee,45,6,84,0,270,TRUE,0.071428571,Saturday,2024-02
2/4/2024,Arabica_Beans_kg,Coffee,45,0,55,0,0,TRUE,0,Sunday,2024-02
2/5/2024,Arabica_Beans_kg,Coffee,45,336,51,285,15120,FALSE,6.588235294,Monday,2024-02
2/6/2024,Arabica_Beans_kg,Coffee,45,285,44,241,12825,FALSE,6.477272727,Tuesday,2024-02
2/7/2024,Arabica_Beans_kg,Coffee,45,241,63,178,10845,FALSE,3.825396825,Wednesday,2024-02
2/8/2024,Arabica_Beans_kg,Coffee,45,178,50,128,8010,FALSE,3.56,Thursday,2024-02
2/9/2024,Arabica_Beans_kg,Coffee,45,128,135,0,5760,TRUE,0.948148148,Friday,2024-02
2/10/2024,Arabica_Beans_kg,Coffee,45,0,73,0,0,TRUE,0,Saturday,2024-02
2/11/2024,Arabica_Beans_kg,Coffee,45,0,60,0,0,TRUE,0,Sunday,2024-02
2/12/2024,Arabica_Beans_kg,Coffee,45,336,57,279,15120,FALSE,5.894736842,Monday,2024-02
2/13/2024,Arabica_Beans_kg,Coffee,45,279,66,213,12555,FALSE,4.227272727,Tuesday,2024-02
2/14/2024,Arabica_Beans_kg,Coffee,45,213,60,153,9585,FALSE,3.55,Wednesday,2024-02
2/15/2024,Arabica_Beans_kg,Coffee,45,153,49,104,6885,FALSE,3.12244898,Thursday,2024-02
2/16/2024,Arabica_Beans_kg,Coffee,45,104,82,22,4680,TRUE,1.268292683,Friday,2024-02
2/17/2024,Arabica_Beans_kg,Coffee,45,22,88,0,990,TRUE,0.25,Saturday,2024-02
2/18/2024,Arabica_Beans_kg,Coffee,45,0,45,0,0,TRUE,0,Sunday,2024-02
2/19/2024,Arabica_Beans_kg,Coffee,45,336,65,271,15120,FALSE,5.169230769,Monday,2024-02
2/20/2024,Arabica_Beans_kg,Coffee,45,271,54,217,12195,FALSE,5.018518519,Tuesday,2024-02
2/21/2024,Arabica_Beans_kg,Coffee,45,217,46,171,9765,FALSE,4.717391304,Wednesday,2024-02
2/22/2024,Arabica_Beans_kg,Coffee,45,171,55,116,7695,FALSE,3.109090909,Thursday,2024-02
